Speech_Date,Speech_Text
2025-03-28 Swaminathan J.,edited transcript governor ’s conversation ndtv india world economic forum davos january vishnu som one important announcements made last couple days world economic forum sidelines davos switzerland india growth story nobody better placed talk growth india rbi governor mr shaktikanta das joined us thank much us sir extremely optimistic line course global projections sectors driving growth shaktikanta das talking current year next year vishnu som shaktikanta das let start saying india recovered recent volatilities uncertainties challenges multiple turmoil one health crisis followed geopolitical crises india emerged lot better macroeconomic stability far better countries financial sector also well said growth current year looked optimistic know national statistical office nso given number talking made statement forum yesterday sense economy touch real gdp growth next year said basis overall macroeconomic conditions prevailing country momentum economic activities remains positive reasons believe momentum maintained well next year beyond made statement also india entered period gross long haul economic activities holding ground momentum economic activity maintained aggregate demand conditio ns remaining positive investment activity started picking backed continued high capital expenditure government private sector capital expenditure also picking agriculture sector current year also expected better next year confluences factors lot activity also happening regard investment new age technologies like fintech startups technology based activities gives us confidence say next year growth would touching vishnu som inflation projecting shaktikanta das yes n ext year’s average inflation expected remain headline inflation immediately ukraine war touched thereafter monetary policy actions taken reserve bank coupled supply side measures taken g overnment inflation steadily coming way reach target next years average expected positive aspect inflation well within target band inflation satisfied would like inflation reach remain around endeavour core inflation marginally headline target expect next years average inflation inflation steadily moderate owards vishnu som sir areas concern presently red sea scenario attacks taking place indias maritime supply lines waters large extent area potential concern shaktikanta das lots global uncertainties mentioned new flashpoints global geopolitics stand today india quite well placed deal challenge red sea area conflicts movement ships etc going pan things watched monitored think various national governments including india best see movement ships ships coming towards india disrupted vishnu som final question sir last couple days seen lots interesting conversations example artificial intelligence also overall state world economy india remains clear outlier shaktikanta das general systemic level lot interest india india outlier sense rest world witnessing contraction rest world escaped earlier apprehensions hard landing global growth individual country growth slowed middle india recording plus growth inflation countries india moderated every country including india yet reach target levels area receives continued focus would like mention two points interaction people countries shows lot interest fintechs technology sectors startups india lot questions central bank digital currency cbdc launched e rupee based blockchain technology experience see potential going lot interest around c bdc reserve bank india lot interest upi countries asking questions would like countries lot interest area technology fintech payment systems areas conventionally much interest india time around find lot interest n areas vishnu som thank much speaking us rbi governor talking us telling us among things indias gdp growth projected inflation numbers much better things coming covid situation saw also great deal interest davos switzerland
2020-01-24 Shaktikanta Das,edited transcript reserve bank india’s press conference central board meeting february yogesh dayal good afternoon welcome press conference central board meeting fm address ed rbi cent ral board also launch upi today two countries go ahead questions request governor give opening remarks shaktikanta das good afternoon would like welcome press conference today two major events meeting central board reserve bank morning finance minister addressed central board reserve bank normal practice fter every budget meeting held delhi wherein finance minister addresses central board reserve bank also interacts entire board held morning finance minister touched upon key priorities document highlighted budget way forward budget projected various future policies measures government proposes take vari ous sectors members central board congratulated finance minister presenting responsible forward looking budget shared ideas thoughts budget finance minister finance minister accompanied two union ministers state finance secretaries finance ministry chief economic advisor names participants etc getting released press notes see second major event precisely reason reschedule press conference afternoon would aware prime minister launched linkage upi fast payment system mauritius imilar system sri lanka press note already released little ago finance minister could come back afternoon reason reschedule press conference today launched presence honou rable prime ministers india mauritius h onou rable president sri lanka two things respect sri lanka upi facilities n mobile phones use qr codes various merchant establishments sri lanka make digital payment upi respect mauritius use enabled today utilising mobile phone qr code merchants establishments mauritius reciprocal arrangement also visitor mauritius also use mobile use upi qr code make payments reciprocal countries similarly rupay card also indian trave ller mauritius carrying rupay card able utilise making payments well atms draw cash mauritius similarly residents mauritius visit india even visit also issued similar rupay card banks mauritius mauritius trave llers india carrying rupay card issued banks mauritius use rupay card digital payments pos machines also use atm draw cash b roadly facilities launched interestingly would like point sri lanka third saarc country india entered arrangement two nepal bhutan already facility quite time mauritius pointed hono urable prime minister address mauritius first african country upi going operate entered kind arrangement important note measures pursuance g principle agreed indian presidency increase footprint role digital public infrastructure across countries india played pioneering role promoting digital public infrastructure within india whether upi digital infrastructure like c owin many examples aware n ow endeavou r enter coll aboration cooperation countries digital public infrastructure benefits available people across countries first african country entered arrangement also act gateway f taking upi payment systems african countries work progress would like stop initial observations wanted make open questions comments yogesh dayal thank sir opening remarks invite shri lakshman roy cnbc awaaz lakshman roy cnbc awaaz sir reference upi agreement two countries could tell us many countries discussion making similar agreements within next calendar year would impact forex well secondly since giving impetus upi one issue coming action paytm though would like talk specific company would like know message rbi want give fintech companies inciden though paytm taken certain measures analy se rbi review decision shaktikanta das far second question concerned rbi thinks fintech perhaps might attendedseen press conference held mumbai last week monetary policy meeting many colleagues present physically many must seen television well must seen rbi’s youtube channel rbi always supportive fintech sector supportive rbi ’s intention objective fintech sector grow fintech sector important role play lakhs crores customers involved many facilities put money wallet interest depositors customers prime importance financial stability prime importance operating regulated environment abide regulations run business rbi always supportive fintech promoting going forward also rbi promoting fintech look track record last years see rbi played important role spreading awareness upi introduced regulatory sandbox four years ago f new innovative idea new technology new fintech application trial regulatory sandbox get authori sation rbi take forward set rbi innovation hub bangalore see digital loans digital lendings getting popular world central banks issued digital lending guidelines done rbi rbi always supportive promote fintech ecosystem said day press conference doubts hat rbi support fintech asked question paytm said week going release faq request wait till th e faqs get released decision take reserve bank takes long thought process around one year two years keep engaging relevant entities whether banks payment banks nbfcs cooperative banks talking paytm talking general take action entity interact months sometime interaction goes two three years w hen see effective corrective measures take action thinking lot taken decision word used “ review ” appropriate word along would like say faq issuing please wait priority depositors customers face kind inconvenience given time one month taken action st january given time till th february time given depositor ’s interest customer ’s interest utmost priority us given one months time bec ause depositors customers want make adjustments transitions yogesh dayal thank ir invite shri prashant sahu financial express prashant sahu financial express first board meeting budget presented st february budget promised faster fiscal consolidation anticipated implication overall economy also monetary policy shaktikanta das government embarks path fiscal consolidation adheres fiscal road map set obviously means borrowing kept within certain limits years borrowing numbers also lower initially markets expected lower quantum borrowing would basically mean two things firstly would ensure reso urces left banking system meet requirements private sector growth inducing measure credit available private sector make investments secondly w hen borrowing less naturall impact bond markets bond yields quantum borrowing important monetary policy also mentioned various monetary policy stat ement different segments bond market reacted differently monetary p olicy actions reserve bank transmission varies segment segment quantum borrowing important monetary p olicy making monetary pol icy one factors taken consideration would say growth inducing positive impact sense help sort stabili se inflation much help stabili se would like quantify help stabili se inflation help moderating inflation levels yogesh dayal thank sir call ms sapna das cnbc tv sapna das cnbc tv good evening governor mentioned market borrowing good market however look interest payments terms borrowings inching yearonyear historical reasons also fact remains debt benchmark anymore central government state governments put together pre covid period somewhere around odd indicated press conference last week concern debt benchmark reached like fiscal deficit thoughts front stickiness come anything suggesting government india shaktikanta das reserve bank suggesting government india bilateral direct communication central bank finance ministry would like touch upon two aspects mentioned rising interest payments government debt inflation high naturally central bank take monetary policy action increasing rate government bor rowings done period naturally borrowing costs higher yields w ould higher move forward inflation started moderating l ogically final point bond yields also come l ooking year bond yield n may started rate hike cycle year bond yield today year bond yields hovering range bond yield gone remained time function inflation level quantum liquidity available system recall first year covid due efforts reserve bank steps taken borrowing cost one lowest far government borrowing concerned intermittent period interest payments linked bond yields going forward inflation brought control bond yields soften borrowing cost government debt also come year bond yields already started softening year yields also bulk government borrowing two buckets point mentioned debt benchmark peak covid general gover nment debtgdp ratio ie central government state government put together peak time covid pandemic government give lot fiscal support people various sectors economy challenges coming covid debt gdp ratio general gov ernment gone come fiscal consolidation roadmap government following target reaching would expect debt togdp also start moderating incidentally important point mentioned monetary policy statement devoted one paragraph problem g overnment debt context global economy global debt gdp ratio expected cross even debt gdp advanced economies far higher debt gdp emerging market economies emes emes today position respond far better needs fiscal consolidation india definitely forefront path fiscal consolidation emes group following yogesh dayal move shri siddharth upasani moneycontrol siddharth upasani moneycontrol couple quick questions postbudget finance secretary said debt gdp ratio target review committee suggested historical relic pandemic time need reexamination stand second bond yields expect inflows g overnment debt rise post june listed jpmorgan terms far security know rbi akes close look bond yields especially rising falling fall quite bit inflows come mechanism mind manage sharp drops yields shaktikanta das aware finance secretary said issue whether valid today want comment government committee appointed recommended plus centre states government take call level sustainable debt far government finances concerned rbi debt manager government whatever view government takes regard borrowing requirements rbis responsibility ensure non disruptive completion borrowing program particular year certainly debt gdp ratio critical issue fiscal consolidation roadmap f go fiscal deficit target government followed budget estimate general expectation probably fiscal deficit would year market expecting every reason believe government adhere path fiscal consolidation whether would like comment regard jpmorgan bond index various estimates made market also suggestions participants market already come seen recent months constant inflows fdi fpi route fpi route robust incidentally given figures monetary policy statement us billion net fpi inflow outflow us billion last year corresponding period fpi flows robust much actually come jpmorgan wait see going come single burst come period time rbi managed outflows inflows situations reserve bank got excellent track record managing flows going forward even year also confident handling referring expected inflows thing materiali ses able deal regarding bond yields appreciate central b ank governor would like say much bond yield whether go go signal market like give interfere market rates decided market reserve bank cannot indicate crisis like covid announced gsap exceptional situation normal basis reserve bank likes leave th e market determine bond yield would like comment yield curve future yogesh dayal move shri banikinkar pattanayak economic times bani kinkar pattanayak economic times sir view budgets sustained focus capital expenditure mean fourth year row wanted follow lakshmans question two countries upi arrangement today offing countries shaktikanta das several countries discussion reserve bank npci international international wing npci subsidiary company npci handle thei r international business w e dialogue number countries list countries names would like mention country side may may like country mentioned press conference something gets finali sed automatically come know regard capex gdp multiplier research shown gdp multiplier capital expenditure going multiplier effect gdp thrust capital expenditure always welcome stated monetary policy statement also government capital expenditure support gdp growth yogesh dayal request shri tarun sharma zee business ask question tarun sharma zee business sir two questions first ly green energy print government plan net zero recommendation power ministry rbi include green energy funding priority lending ₹ crores relaxation provisioning green energy finance second recently iss ued discussion paper capping dividends part discussion board meeting dea concerns dividend capping plan especially p su shaktikanta das said power ministry said dea views aware actually keeping aside examine aspects ministries government views share views us take consideration whatever decision appears appropriate take naturally based lot discussion various stakeholders ministries government certainly stakeholders want speculate request suggestion power ministry finance ministry dividends etc january st last day w e get comments hundreds examined carefully ake decision know yogesh dayal call shri radha raman mishra pti bhasha radha raman mishra ptibhasha question related someone asked earlier see countries showing interest rupay card shaktikanta das yes lot interest radha raman mishra ptibhasha sir ne question little bit different colleague lost due fraud around ₹ lakhs days back bank account took half hour reach customer care could reach customer care half hour till time money debited account plans launch platform complain fraud take cogni sance immediately shaktikanta das cybercrime platform already one common platform lodge complaint cyber security genuine problem two types situation one situation customer believes genuine message get message bank sometimes absentmindedly mistake share otp share personal data fraud happens must seen banks keep sending smses account holders behalf rbi already advertised share kind personal information get message banks click link kyc done banks never contact directly branch holding bank account one type situation customers mistake thing fraud happens money get debited mandated directly complain bank within hours fraud bank ’s complaint management portal mistake made bank refund full money issued circular situation cyber security econd situation commit fraud hacking direction taken lot measures reserve bank related ministr ies government keep discussing issues strengthen system prevent fraud would like tell blocking lots hacking attempts fraud attempts information divulge public domain publici se lot hacking attempts happening financial institutions face lot hacking attempts build firewall protect direction many efforts made lot work done going forward direction consultation law enforcement agencies concerned ministries like home ministry finance ministry ministry participate discuss strengthen measures taken giving high priority lakshman roy cnbc awaaz one small clarification regarding paytm question understood correctly said little scope review paytm decision shaktikanta das said take decisions lot consideration lot analysis said let clear review decision expecting review decision let clearly tell review decision faq proposing issue targeting inconvenience issues faced customers depositors like fastag holders wallet users account holders whatever issues customer interest dealing faqs review decision table please make headlines routine process two big positive steps taken one discussion budget central bo ard international linkage upi important asking said expect review faq addressing questions customers ’ point view yogesh dayal last two questions anchal magazine ranjan mishra aanchal magazine indian express question follow saying review decision shaktikanta das saying say aanchal magazine okay shaktikanta das let explain meant meant decision taken much consideration decide today start reviewing tomorrow take decision examine pros cons angularities aspects examined lot thought internal deliberation internal discussions interactions regulated entity decisions taken decisions taken casual manner decisions taken serious manner public interest wanted highlight aanchal magazine fact whether extension customers shaktikanta das wait faq please aanchal magazine part today expecting inflation data shaktikanta das let us see record tell much expecting wait another hour know figure w e internal estimate would rather wait official number yogesh dayal call shri asit ranjan mishra business standard asit ranjan mishra business standard sir since paytm issues since saying review mean nothing … shaktikanta das saying please leave paytm move many positive things happening country many things rbi financial inclusion digital payment nobody asked kfs key fact statement mandated big step interest small borrowers retail borrowers msme borrowers key fact statement explained monetary policy press conference major customer centric measure many good things happening let us move forward asit ranjan mishra business standard yes small clarification sir since review logical next step withdrawal license shaktikanta das want speculate thing asit ranjan mishra business standard gdp projected growth analysts saying finance secretary record said factored budget statement gives confidence growth achieved next year shaktikanta das explained great detail monetary policy statement momentum economic activity continues strong whether aggregate demand investment side overall momentum economic activity continues strong analysis shows gdp growth next year ie touch future tell right gdp growth look back last two years ahead analysts analysts subsequently adjust number numbers actual number even current year coming little higher said october time many people thought rbi overprojecting serious note future tell us actual number confidence mainly overall momentum economic activity strong want repeat points already mpc statement made last thursday yogesh dayal come close press conference thank till next time thank best shaktikanta das thank
2024-04-12 RBI Governer,governor’s inter view et march edited excerpts et fragile five top five indian economy enjoying pedestal positioning growth headed right direction inflation coming check npa cycle weak fresh capital formation started reserve b ank india g overnor team made impossible look easy indian financial system resilient despite shocks problems yesterday behind us haunt us global external shocks preparedness indian financial system get answers man moment mr shaktikanta das governor reserve b ank india governor honour channels pleasure et thank governor guess introduction question ever since took governor reserve b ank india december best macro economy setup seen shaktikanta das long time last five years course last five years seen several turbulent moments initially coming collapse ilfs followed covid many external developments gone turbulent period quite see period time period years confluence factors today perhaps one best look gdp look fiscal consolidation course fiscal side look current account deficit look inflation look fact inflation brought kind control without sacrificing without paying kind heavy price perhaps economies paid bring back inflation control look overall terms growth terms inflation terms macro parameters like current account deficit economic activities respects terms overall stability financial sector overall stability banking sector nbfc sector perhaps one best confluence factors said philosophy follow internally room complacency problem suddenly arise corner world may really complicate challenges us absolutely room complacency need remain focused committed goal maintaining financial stability supporting economic activity country et looking current set data points macro circumstances permutation combination say see problem horizon external shock something unknown privy right could episodic issue shaktikanta das less right accepting geopolitical crisis new flashpoints originate anytime weather related challenges happen happen without much advanced notice excepting structural level see major problem made reference last mpc statement mine global debt much problem india debt gdp certain level expected moderate talked last mpc statement say debt gdp countrys debt visavis external lenders debt state governments central government put together within manageable limits set moderate coming years look global public debt advanced economies large fiscal deficits large percentage borrowing ie large percentage debt gdp ratios continues sort pose bigger challenges particularly emerging market economies emes something affect india immediately also among emes india much better prepared deal challenges et governor reserve b ank india ahead curve released gdp projections fy rbi number consensus number rbi remain ahead curve upgrade fy gdp estimates also case shaktikanta das next monetary policy month away research teams working inflation gdp numbers want preempt conclusions come look growth outlook said last year sometime towards end october one event gdp would order absolutely right market slowly market adjusted today number current year given nso gives particular data work number final authority gives gdp number let split way first let talk current year next year far current year concerned momentum economic activity robust first week march given kind momentum economic activity growth momentum witnessing kind high frequency indicators data points keep getting continuous basis would hesitate say every possibility growth current year exceeded numbers first three quarters implicit growth fourth quarter sense understanding high frequency indicators momentum economic activity tells us growth q could exceeded happens obviously growth quite good chance gdp growth number current year close coming next year given gross projection forecasters including international agencies given much lower projections next year next year sticking wait next mpc research teams analysis moment speak would stick projected next year et sir high frequency data points strong internal data purely pointing towards strong economic expansion least infer shaktikanta das definitely strong economic expansion ou take covid year negative growth thereafter revised number nso given fy next year fy earlier revised slightly downwards year fy nso giving target take average closer momentum continuing strong quite optimistic next year say reasonable amount confidence based internal analysis research next year much table et reserve bank india makes comment knows data gone data sure otherwise never indicate public forum governor spoke last time elephant room sense inflation inflation come lot measures taken rbi commodity prices also benign inflation moving towards guided band towards time reserve bank india change stance shaktikanta das since use analogy elephant would like tell viewers looks like elephant gone walk elephant come back anytime saying elephant come back anytime couple major uncertainties one geopolitical geopolitical situation evolves kind supply chain challenges pose second thing weather related events immediately impact food prices two major uncertainties latest inflation print january released february inflation still basis points away target completely focused analy sing incoming data see inflation outlook said let say direction inflation monthly numbers also direction inflation numbers evolving immediately ukraine war inflation april come touched touched focused taking inflation target given uncertainties would like inflation durabl e around cannot one oneoff number one month number touching give us satisfaction sustainabl e durabl e around something give us greater confidence direction clear inflation downward trajectory et use cricket terminology always refer cricket postwar rbi option adopt format go speed power impact back classic test match style form speed style durability sustainability shaktikanta das play ball ball using cricket analogy play ball ball see pattern around th th usually kind slight moderation pace serious note yes time frontended action required took frontended action including offcycle meeting mpc held may announced repo rate increase basis points market taken surprise surprised read april mpc statement given clear indications would moving fast history time frontended action taken pause several meetings terms stance terms rate front watching numbers incoming data points regard prices make evaluation evolving outlook based future action decided et governor rbis view state economy kinds alphabets attributed describe postcovid recovery postcovid recovery really unreal stress rural economy see changing shaktikanta das overall economy well last three years including current year average growth cannot reach growth like even number given current year various theories given around dismissing analysis explained example belief subsidy expenditure come gva plus tax gross tax collections minus subsidy subsidies less gdp number looking high various explanations given would l ike go back mentioned momentum momentum economic activity continues strong mentioned rural sector demand twowheelers indicator rural demand back recording high growth last couple months tractor demand slower little slower negative growth little less compared previous months back double digit growth several months slight moderation seen indication slowing rural demand two wheeler demand continues strong tractor demand quite stable demand mnrega also come whatever gap net sown area rabi crop also filled rabi crop expected good wheat crop expected exceed last years challenges regard crops like pulses etc overall rural demand showing signs revival perhaps let put way rural demand definitely improved compared one year ago far urban demand concerned urban demand continues strong investment activity continues strong driven g overnment capex private capex also beginning pick particularly certain key sectors like steel sectors related construction activity textiles chemicals private investment also picking capacity utilisation also high reflected rbis survey also various industry associations chambers commerce hey survey among members yesterday detailed interaction various industry trade bodies apex associations india associations heir internal survey among members also show capacity utilisation high expectation private investment also pick demand bank credit also picked put things together economy well compare countries see comparative sense today recording let us say around growth please see countries countries growth still little good look countries economy well quite optimistic outlook growth outlook india et would like draw attention liquidity given growth parameters inflation growth dynamics system ready liquidity injection liquidity net basis last months actually less system ready accept back shaktikanta das liquidity surplus till september last year thereafter turned deficit various factors external reserve bank external mean foreign external rbi example currency circulation plays important role impacting quantum liquidity government expenditure inflow foreign exchange hese factors external rbi pointed last monetary policy statement quite nimble liquidity actions last fortnight one month almost simultaneously injecting liquidity way variable rate repo operations also periodically taking liquidity way variable rate reverse repo auctions fact last weeks one auction day kind nimbleness demonstrated manage liquidity last four weeks liquidity surplus reflected fact overnight call rates earlier hovering around even sometimes touching came yesterday liquidity adequate good amount liquidity system clearly reflected overnight call rates et paytm would like establish viewers channel view reserve bank india acted public interest safeguard public interest comes paytm framework compromised reserve bank india choice impose restrictions governor one month old paytm taken corrective ction earned outofjail card could review decision shaktikanta das want comment specific entity proper comment specific entity correspondence going rbi regulated entity case paytm mentioned specifics stands would like mention since mentioned paytm sort slightly expand scope reply bring things perhaps would interest viewers f irst point want say reserve banks action regulated entity case regulated entity payment bank reserve banks action fintech company fail understand see reason narrative building built reserve b ank taken measures fintech companies taken action fintech companies fintech companies regulated reserve bank unless nbfc lenders nbfc lenders yes regulated us case action payment bank may say defensive defensive see kind narrative certain sections media financial sector players understand situation well understanding wider cross section viewers done nothing far fintechs concerned f intechs free grow supporting fintech companies set innovation hub formed fintech department regulatory sandbox going towards forming call sro selfregulatory organi sation fintechs rbi remains fully supportive fintechs saying instil sense clarity minds people fintech players rbi fintech grow far rbis regulated entities concerned fintechs provide thirdparty service thirdparty service provider far concerned fix responsibility bank nbfc utilising services fintech follow rules game hat one point wanted clarify second point financial sector come regulated environment regulations rules game follow rules game want drive new fashionable car road follow traffic rules cannot say owner new car traffic rules apply us traffic rules everybody traffic rules put place children crossing road elderly people using road twowheelers road cars various speeds road responsibility traffic police ensu accidents reserve bank similarly placed regulator entrusted responsibility regulating large part financial sector endeavour ensure best ability major accidents accidents still happen endeavour ensure major accidents deepened supervision extent able anticipate problems risk buildup actions determined objective maintaining financial stability protecting customers interest protecting depositors interest wherever see risk building necessarily take action overall public interest overall background regulatory actions reserve bank taken case paytm case regulated entities whenever take action see coming et likely extend deadline march paytm wallet kind accounts pure size shaktikanta das initially gave time month issued hese orders st january gave time end february made assessment understanding would take days whole thing stabilis e issued faq mentioned monetary policy day middle february thought since faq issued middle february giving clarity number issues questions received thought appropriate give one month time assessment time given march sufficient take account total number users paytm payment app payment app wallet linked bank account large part users – customers – paytm payment app linked banks along paytm bank entirely different banks customers using paytm payment app impacted app also linked another bank account payments go non disruptive manner challenge regard users linkage bank account paytm payment bank paytm payment bank advised shift customers banks banks also proactively onboarding customers npci also working closely various banks customers exclusively dependent payment bank – customers – getting onboarded banks foresee problem beyond march channel would like appeal everybody paytm app linked p aytm payment bank please link another bank account use paytm payment app nond isruptively et think npci take decision paytm license shaktikanta das cannot say npci internal due dilige nce far rbi concerned w e informed objection npci considers paytm payment app continue action paytm payment bank app npci action payment bank npci take call would presume taking call shortly et quote last interview said fintechs like ferrari india still needs efficient small car assume sros set rbi essentially looking extending regulation fintech soft touch era shaktikanta das digress little indian speed today like small car indias economic growth way india growing like tejas aircraft speed coming back specifically question want slow economic growth want slow growth financial sector completely focused growth robust financial sector sustainable basis growth sustainable long run grow high speed years crash regulator financial sector effort responsibility ensure financial sector grows good speed sustainable manner recent years deepened supervisory processes approaches keeping close watch activities sectoral sub secto ral activities also monitoring activities individual banks individual nbfcs larger ones particularly top nbfcs control roughly abou nbfc space monitoring super vision much active regulatory side completely hauled regulatory architecture sense nbfcs positioned scale based regulation digital lending guidelines issued ownership guidelines well governance guidelines scheduled commercial banks brought lot changes regulatory side ensure financial sector remains strong healthy supervision side also deepened supervision extent constantly monitor happening offsite well onsite methods including lot online information get ensure ndian financial sector remains strong healthy grows sustainable manner et governor looking ai say compliance occupy cent stage reserve bank india could also revisit total penalty system currently minuscule considering global standards non compliance shaktikanta das three principles highlight ed ou call tripod stability financial institution tripod stability management risk ensuring good compliance ensuring reasonable compliance nd third aspect taking internal audit seriously making internal audit functions efficient part governance reforms banks nbfcs mandated creation dedicated senior level positions chief risk officer look risk management chief risk offi cer c hief compliance officer head internal audit three functions spelt areas looking sort mandated sufficiently senior officers required capabilit ultimately complian ce essential part good governance reserve bank giving lot emphasis three things – risk management compliance findings internal audit addressed et war liability within banks right banks sense making case look getting traditional savings lot money channel lised stock markets rbi view savings getting diverted stock markets shaktikanta das whole position slightly nuanced savings going stock markets coming back bank buy stock let us say buying shares secondary market participate ipo make payment money go remain loose cash comes back banking system somebody elses bank account point view banks probably one set depositors ’ deposit rates coming money hifting one account account said broader point making quite agree growth rate deposits order whereas credit growing kind mismatch always mismatch get ₹ deposit alone given loan ₹ incidentally bank provide crr slr requirements one loan gets sanctioned money creates money called money multiplier cannot say credit cannot grow rate higher deposit growth always grow rate higher deposit growth correlation credit growth deposit growth deposit growth region historically deposits grown around extent dip deposits perhaps propensity spend people’s consumption expenditure picking eventually money comes back somebody elses bank account economic growth takes greater foothold one expect savings rate improve retail savings growing perhaps things like investment mutual funds investment shares greater amount spending undertaken households et rbi worried kind options activity system loans securities something bit fly ointment concern shaktikanta das r bi given guidelines loans securities banks nbfcs two years ago came guidelines nbfcs financing ipos earlier nbfcs could give amount loan ipo financing set l imit one crore per borrower one area constantly monitoring like sector constant monitoring action required take moment surveillance et real estate past reserve bank india flagged conc erns real estate sector previous cycle taken preemptive measures see real estate sector headed worried shaktikanta das moment unduly concerned real estate sector whole construction activity continues strong real estate number may look high hdfcs assets got merged h dfc bank put together compare year onyear basis real estate sector growth looks high net hdfc component growth real estate sector something worries us point time et near term question ie bond inclusion india part msci dex bond inflows pick reserve bank preparing bond market inflows shaktikanta das bond market inclusion act double edged weapon inflows situations outflows also cause volatility yields alluding expectation heavy inflows would like say far jp morgan bond index inclusion yesterdays announcement bloomberg still year away come period time going come one shot reserve b ank able manage regard inflows also cycle turn saying probabil ity c annot rule scenario reserve bank able handle kind inflows outflows one generally associate bond inclusion mainly strong buffer foreign exchange reserves et governor take liberty asking questions two large questions real long term structural implications first rupee trade trading becoming bigger understand ndian refineries also ready get oil imports partly paid indian rupee see change increasing see rupee denominated trade grow exponentially shaktikanta das one understand rupee denominated trade dependence one currency international trade obviously involves bigger amount risk import export global international trade dependent one currency risk exchange rate fluctuation single currency extent gets minimi sed made beginning regard rupee local currency settlement rupee denominated settlement two different things one v ostro account mechanism settlement entirely rupees one local currency denominated meaning two countries respective currencies utili sed settlement effort mainly kind context trying build countries whic h large trade volume expect steadily improve cannot happen overnight expect steadily improve officials meetings oil companies oil market ing companies also effort sides signed agreement uae soon see action countries also india country local currency denominated trade agreements taken forward working direction expect grow rupee footprint grow especially visavis countries larger amount trade countries great amount remittances indians working et called cryptocurrency dangerous time cryptocu rrency almost like mania crypto bitcoin prices coming higher see level participation still low level p articipation late price hike also come back india shaktikanta das exuberance two years ago exuberance greater awareness among people risks dangers assoc iated crypto people make money large number people likely incur loss speculative product nothing technology clear line drawn technology cryptocurrencies based echnology blockchain technology nothing blockc hain many applications already use using blockchain technology regard central bank digital curren cy cbdc underlying technology diff erent thing altogether grow using cbdc er upee every underlying asset needs matching liability cryptocurrencies corresponding liability technology used develop certain products essentially speculative nature nd traded without underlying corresponding liabilities number one number two underlying speculative product without underl ying trading going sell something ₹ sell somebody ₹ somebody sells another person ₹ basis call speculative product interactions central banks also frequently greater awareness among people india internationally yes moment said products traded high prices could amount interest perhaps one year ago compare two years ago kind exuberance building today greater amount realism et expect full fledged launch digital currency ie r etail digital currency shaktikanta das great hurry launch digital currency want absolutely sure safety robustness integrity digital currency pilo project running nd even pilot project size high number users retail users cbdc today million ie lakh users retail cbdc number merchants using cbdc lakhs lakh merchants users part pilot project learning experience new challenges new issues keep cropping terms tec hnology sometimes certain questions around safety features certain questions speed transactions developing product want ensure absolutely confident safety features integrity currency perhaps right time launch full fledged manner timeline target date depends feel yes ready launch et sir downtime rbi downtime governors life ever get sunday shaktikanta das part job cannot complain accepted position also accept challenges associated et sure get chance watch tv prefer watching et shaktikanta das yeah course want endorse et endorse watch et et governor pantheon great thinkers great governors made name always pedestal proud moment us global acknowledgement kind things rbi institution adopted leadership sir come unlike peers traditional economics background w e living complex world simplify things start judge w hat data points refer shaktikanta das first foremost one see larger world first see big picture zero micro details kind granular analysis one cannot emulate great warrior rjuna long see larger picture long focused larger picture larger picture rbi larger picture ensure financial stability country support growth late things like supporting innovation supporting technology making payments userfriendly financial inclusion one look things look larger picture zero various components decide action accordingly
