Date,Close,High,Low,Open,Volume,Speech_Date
,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,
2021-02-02,14647.849609375,14731.7001953125,14469.150390625,14481.099609375,915000,2021-02-05
2021-02-03,14789.9501953125,14868.849609375,14574.150390625,14754.900390625,869500,2021-02-05
2021-02-04,14895.650390625,14913.7001953125,14714.75,14789.0498046875,884700,2021-02-05
2021-02-05,14924.25,15014.650390625,14864.75,14952.599609375,935600,2021-02-05
2021-02-08,15115.7998046875,15159.900390625,15041.0498046875,15064.2998046875,671200,2021-02-05
2021-04-05,14637.7998046875,14849.849609375,14459.5,14837.7001953125,509700,2021-04-07
2021-04-06,14683.5,14779.099609375,14573.900390625,14737.0,475300,2021-04-07
2021-04-07,14819.0498046875,14879.7998046875,14649.849609375,14716.4501953125,0,2021-04-07
2021-04-08,14873.7998046875,14984.150390625,14821.099609375,14875.650390625,514800,2021-04-07
2021-04-09,14834.849609375,14918.4501953125,14785.650390625,14882.650390625,504100,2021-04-07
2021-06-01,15574.849609375,15660.75,15528.2998046875,15629.650390625,409600,2021-06-04
2021-06-02,15576.2001953125,15597.4501953125,15459.849609375,15520.349609375,428600,2021-06-04
2021-06-03,15690.349609375,15705.099609375,15611.0,15655.5498046875,410200,2021-06-04
2021-06-04,15670.25,15733.599609375,15622.349609375,15712.5,414200,2021-06-04
2021-06-07,15751.650390625,15773.4501953125,15678.099609375,15725.099609375,394000,2021-06-04
2021-08-03,16130.75,16146.900390625,15914.349609375,15951.5498046875,341300,2021-08-06
2021-08-04,16258.7998046875,16290.2001953125,16176.150390625,16195.25,427300,2021-08-06
2021-08-05,16294.599609375,16349.4501953125,16210.2998046875,16288.9501953125,418200,2021-08-06
2021-08-06,16238.2001953125,16336.75,16223.2998046875,16304.400390625,320100,2021-08-06
2021-08-09,16258.25,16320.75,16179.0498046875,16281.349609375,240500,2021-08-06
2021-10-05,17822.30078125,17833.44921875,17640.900390625,17661.349609375,427000,2021-10-08
2021-10-06,17646.0,17884.599609375,17613.150390625,17861.5,395800,2021-10-08
2021-10-07,17790.349609375,17857.55078125,17763.80078125,17810.55078125,419900,2021-10-08
2021-10-08,17895.19921875,17941.849609375,17840.349609375,17886.849609375,324100,2021-10-08
2021-10-11,17945.94921875,18041.94921875,17839.099609375,17867.55078125,375800,2021-10-08
2021-12-06,16912.25,17216.75,16891.69921875,17209.05078125,231700,2021-12-08
2021-12-07,17176.69921875,17251.650390625,16987.75,17044.099609375,254100,2021-12-08
2021-12-08,17469.75,17484.599609375,17308.94921875,17315.25,257800,2021-12-08
2021-12-09,17516.849609375,17543.25,17379.599609375,17524.400390625,237200,2021-12-08
2021-12-10,17511.30078125,17534.349609375,17405.25,17476.05078125,204500,2021-12-08
2022-02-07,17213.599609375,17536.75,17119.400390625,17456.30078125,265000,2022-02-10
2022-02-08,17266.75,17306.44921875,17043.650390625,17279.849609375,268500,2022-02-10
2022-02-09,17463.80078125,17477.150390625,17339.0,17370.099609375,236400,2022-02-10
2022-02-10,17605.849609375,17639.44921875,17427.150390625,17554.099609375,273600,2022-02-10
2022-02-11,17374.75,17454.75,17303.0,17451.0,253100,2022-02-10
2022-04-05,17957.400390625,18095.44921875,17921.55078125,18080.599609375,283500,2022-04-08
2022-04-06,17807.650390625,17901.0,17779.849609375,17842.75,328800,2022-04-08
2022-04-07,17639.55078125,17787.5,17623.69921875,17723.30078125,308800,2022-04-08
2022-04-08,17784.349609375,17842.75,17600.55078125,17698.150390625,274400,2022-04-08
2022-04-11,17674.94921875,17779.05078125,17650.94921875,17740.900390625,251700,2022-04-08
2022-06-06,16569.55078125,16610.94921875,16444.55078125,16530.69921875,233600,2022-06-08
2022-06-07,16416.349609375,16487.25,16347.099609375,16469.599609375,233800,2022-06-08
2022-06-08,16356.25,16514.30078125,16293.349609375,16474.94921875,243500,2022-06-08
2022-06-09,16478.099609375,16492.80078125,16243.849609375,16263.849609375,205000,2022-06-08
2022-06-10,16201.7998046875,16324.7001953125,16172.599609375,16283.9501953125,189700,2022-06-08
2022-08-02,17345.44921875,17390.150390625,17215.849609375,17310.150390625,333600,2022-08-05
2022-08-03,17388.150390625,17407.5,17225.849609375,17349.25,285400,2022-08-05
2022-08-04,17382.0,17490.69921875,17161.25,17463.099609375,325000,2022-08-05
2022-08-05,17397.5,17474.400390625,17348.75,17423.650390625,355300,2022-08-05
2022-08-08,17525.099609375,17548.80078125,17359.75,17401.5,257000,2022-08-05
2022-09-27,17007.400390625,17176.44921875,16942.349609375,17110.900390625,359900,2022-09-30
2022-09-28,16858.599609375,17037.599609375,16820.400390625,16870.55078125,323900,2022-09-30
2022-09-29,16818.099609375,17026.05078125,16788.599609375,16993.599609375,340000,2022-09-30
2022-09-30,17094.349609375,17187.099609375,16747.69921875,16798.05078125,376100,2022-09-30
2022-10-03,16887.349609375,17114.650390625,16855.55078125,17102.099609375,278400,2022-09-30
2022-12-05,18701.05078125,18728.599609375,18591.349609375,18719.55078125,288400,2022-12-07
2022-12-06,18642.75,18654.900390625,18577.900390625,18600.650390625,217800,2022-12-07
2022-12-07,18560.5,18668.30078125,18528.400390625,18638.849609375,200500,2022-12-07
2022-12-08,18609.349609375,18625.0,18536.94921875,18570.849609375,202800,2022-12-07
2022-12-09,18496.599609375,18664.69921875,18410.099609375,18662.400390625,215800,2022-12-07
2023-02-06,17764.599609375,17823.69921875,17698.349609375,17818.55078125,282500,2023-02-08
2023-02-07,17721.5,17811.150390625,17652.55078125,17790.099609375,354400,2023-02-08
2023-02-08,17871.69921875,17898.69921875,17744.150390625,17750.30078125,291000,2023-02-08
2023-02-09,17893.44921875,17916.900390625,17779.80078125,17885.5,260900,2023-02-08
2023-02-10,17856.5,17876.94921875,17801.0,17847.55078125,232000,2023-02-08
2023-04-03,17398.05078125,17428.05078125,17312.75,17427.94921875,230200,2023-04-06
2023-04-05,17557.05078125,17570.55078125,17402.69921875,17422.30078125,248300,2023-04-06
2023-04-06,17599.150390625,17638.69921875,17502.849609375,17533.849609375,242700,2023-04-06
2023-06-05,18593.849609375,18640.150390625,18582.80078125,18612.0,256100,2023-06-08
2023-06-06,18599.0,18622.75,18531.599609375,18600.80078125,220800,2023-06-08
2023-06-07,18726.400390625,18738.94921875,18636.0,18665.599609375,260100,2023-06-08
2023-06-08,18634.55078125,18777.900390625,18615.599609375,18725.349609375,286500,2023-06-08
2023-06-09,18563.400390625,18676.650390625,18555.400390625,18655.900390625,221800,2023-06-08
2023-08-07,19597.30078125,19620.44921875,19524.80078125,19576.849609375,216600,2023-08-10
2023-08-08,19570.849609375,19634.400390625,19533.099609375,19627.19921875,260300,2023-08-10
2023-08-09,19632.55078125,19645.5,19467.5,19578.80078125,266500,2023-08-10
2023-08-10,19543.099609375,19623.599609375,19495.400390625,19605.55078125,312200,2023-08-10
2023-08-11,19428.30078125,19557.75,19412.75,19554.25,235500,2023-08-10
2023-10-03,19528.75,19623.19921875,19479.650390625,19622.400390625,221700,2023-10-06
2023-10-04,19436.099609375,19457.80078125,19333.599609375,19446.30078125,277100,2023-10-06
2023-10-05,19545.75,19576.94921875,19487.30078125,19521.849609375,234900,2023-10-06
2023-10-06,19653.5,19675.75,19589.400390625,19621.19921875,159100,2023-10-06
2023-10-09,19512.349609375,19588.94921875,19480.5,19539.44921875,165100,2023-10-06
2023-12-05,20855.099609375,20864.05078125,20711.150390625,20808.900390625,421000,2023-12-08
