Speech_Date,Sentiment_Score,Sentiment_Label
2021-04-07 Shaktikanta Das,0.9998,positive
2024-06-07 Shaktikanta Das,0.9999,positive
2021-06-04 Shaktikanta Das,0.9994,positive
2023-02-08 Shaktikanta Das,0.9998,positive
2023-08-10 Shaktikanta Das,1.0,positive
2023-04-06 Shaktikanta Das,0.9999,positive
2024-08-09 Shaktikanta Das,0.9991,positive
2024-02-08 Shaktikanta Das,0.9997,positive
2021-02-05 Shaktikanta Das,0.9998,positive
2022-09-30 Shaktikanta Das,0.9997,positive
2021-08-06 Shaktikanta Das,0.9993,positive
2023-06-08 Shaktikanta Das,0.9998,positive
2022-12-07 Shaktikanta Das,0.9996,positive
2024-04-05 Shaktikanta Das,0.9806,positive
2025-04-09 Sanjay Malhotra,0.9998,positive
2022-06-08 Shaktikanta Das,0.9999,positive
2022-02-10 Shaktikanta Das,0.9989,positive
2024-12-11 Sanjay Malhotra,0.9992,positive
2021-12-08 Shaktikanta Das,0.9999,positive
2022-04-08 Shaktikanta Das,0.9996,positive
2023-10-06 Shaktikanta Das,1.0,positive
2022-08-05 Shaktikanta Das,0.9996,positive
2021-10-08 Shaktikanta Das,0.9992,positive
2024-10-04 Shaktikanta Das,0.9987,positive
2023-12-08 Shaktikanta Das,0.9999,positive
